name,twitter,github,url,dune,wallet_address
WOOFi,_WOOFi,github.com/woonetwork,fi.woo.org/,null,0xc8b2b7a07892644a71cc42eec809b7a4296a715a
Good Entry Labs,null,github.com/GoodEntry-io,goodentry.io/,dune.com/good-entry/good-entry-ezvaults-tvl,0xb36faa35034dd0e6307258cfe38793d3a5254dd3
Gains Network,GainsNetwork_io,null,gains.trade/,null,0xc0ecc613f6f5e979ed0169bf7af50803e7072e16
DefiEdge,null,null,app.defiedge.io/,null,0x3644233730dd168e1db3373cd27491edd5d8984f
Synapse Protocol,SynapseProtocol,github.com/synapsecns,www.synapseprotocol.com/,null,0x1d9bfc24d9e7eeda4119ceca11eaf4c24e622e62
PancakeSwap,PancakeSwap,github.com/pancakeswap/,pancakeswap.finance/,null,0xecc90d54b10add1ab746abe7e83abe178b72aa9e
RabbitHole,null,github.com/rabbitholegg/quest-protocol,rabbithole.gg/,null,null
Notional,NotionalFinance,null,notional.finance/,null,0xbf778fc19d0b55575711b6339a3680d07352b221
Rodeo Finance,Rodeo_Finance,github.com/RodeoFi,www.rodeofinance.xyz/,null,0xab7d6293ce715f12879b9fa7cbabbfce3bac0a5a
Magpie,magpiexyz_io,null,www.magpiexyz.io/,null,0x356a5023340ad1f27c1dc5b6b246e6599566e625
Stargate Finance,StargateFinance,null,stargate.finance/,null,0x9cd50907aeb5d16f29bddf7e1abb10018ee8717d
Savvy,SavvyDeFi,github.com/savvy-finance,savvydefi.io/,null,0x4f54cab19b61138e3c622a0bd671c687481ec030
Tales of Elleria,TalesofElleria,null,www.talesofelleria.com/,null,0x69832af74774bae99d999e7f74fe3f7d5833bf84
Thales Protocol,thaIesmarket,github.com/thales-markets,thalesmarket.io/,null,0x2902e381c9caacd17d25a2e008db0a9a4687fdbf
TIDE,null,null,landing.tideprotocol.xyz/,null,0xe199d0ca24306cfa5baee371b821fe5b1edf3456
Solv Protocol,SolvProtocol,github.com/solv-finance,null,null,0x04dd7cf38a249a371a8e589bc1c44485bc791d3f
Furucombo,furucombo,null,furucombo.app/,null,0x290bfbc2a7476156f318b331d6004868978a0854
dForce,dForcenet,github.com/dforce-network,dforce.network/,null,null
Sanko GameCorp,SankoGameCorp,null,sankodreammachine.net/,null,0x233cfcfb0d57c7e44f6836918eb2cfdd0760b6ed
Ramses,RamsesExchange,github.com/RamsesExchange,ramses.exchange/,null,0x20d630cf1f5628285bfb91dfac8c89eb9087be1a
Vela Exchange,vela_exchange,null,www.vela.exchange/,null,0x678c29a2da4ae423457db591ff78be8c9c63378c
Thetanuts Finance,ThetanutsFi,null,www.thetanuts.finance/,null,0xc3a48b40b3762924d6fa3af1d957ce78e522497e
Jones DAO,jojo_exchange,null,jojo.exchange/,null,0x25eb8a26f819bdef70facf4df119caa6239dcf92
Wormhole Foundation,wormholecrypto,null,null,null,0x101a6a3049f9cdfc4c289a9a0a0e38449adb8327
Shell Protocol,null,github.com/Shell-Protocol/Shell-Protocol/,shellprotocol.io/,null,null
