granteeName,grantInitiative,amount,tokenAddress,grantSubmissionUrl,grantApprovalAction,percVoteWon,grantPlatform
WOOFi,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x8e7ef50a5d0e27635db8d82bae9d0f9e991ca5188b3411ee62814559ad5f7aaa,82.61%,Tally
Good Entry Labs,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x57989a52325d2e15bfce04d700721605c0cb02504baef73c648d609ce0512c72,93.07%,Tally
Gains Network,STIP - Round 1,7000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xbeeb43ae2c86bc38c06f9878070350c9b22e08ec79e906ce1b8704fea0cb1f24,93.92%,Tally
DefiEdge,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x70a8c246bff9f2c9ca73208fd5ce0411086e6d899a46895336617793978e99ff,99.38%,Tally
PancakeSwap,STIP - Round 1,200000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xf451dc98fa21d6dea83a7062cd5082ba57b3ed4861c2a3886b82e71e057380bb,88.37%,Tally
RabbitHole,STIP - Round 1,1000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x0908edd135f544cdf93dd628bf9813b0f3af517c6d87838a42639885b8bb9fb3,66.03%,Tally
Notional,STIP - Round 1,500000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xdc35e859c48f45ea152a870b2cdb59274bd98da489c324345ec883785c2de715,93.42%,Tally
Rodeo Finance,STIP - Round 1,250000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x4af0134cf2fad93af6f255882f4c38847e38cfa083aaa29e37e9a9a669b7d913,80.86%,Tally
Magpie,STIP - Round 1,1250000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xa2ca8fdbac4c8279db3e641ffc60393aa2bcfdf832bd1734253e3db8c2c001de,77.04%,Tally
Stargate Finance,STIP - Round 1,2000000,0x912ce59144191c1204e64559fe8253a0e49e6548,null,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x0d9fd9f880615a320fa1294264d317228f0479d7f7f146f5c9683f1cb27f814b,79.26%,Tally
