name,grantsPlatform,amount,grantApprovalSource,fundingAuthorizationVote,percVoteWon,grantSubmissionUrl,funder,grantInitiative,grantToken,dateStart,endDt
WOOFi,Tally,1000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x8e7ef50a5d0e27635db8d82bae9d0f9e991ca5188b3411ee62814559ad5f7aaa,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,82.61%,https://forum.arbitrum.foundation/t/woofi-final-stip-round-1/17043,Arbitrum DAO,STIP - Round 1,ARB,,
Gains Network,Tally,7000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xbeeb43ae2c86bc38c06f9878070350c9b22e08ec79e906ce1b8704fea0cb1f24,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,93.92%,https://forum.arbitrum.foundation/t/gains-network-final-stip-round-1/17422,Arbitrum DAO,STIP - Round 1,ARB,,
DefiEdge,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x70a8c246bff9f2c9ca73208fd5ce0411086e6d899a46895336617793978e99ff,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,99.38%,https://forum.arbitrum.foundation/t/defiedge-final-stip-round-1/17014,Arbitrum DAO,STIP - Round 1,ARB,,
Synapse,Tally,2000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x22244ef5a988b9231ad073d9fd87cd74f245895f1c0fb82fae52e6ff56cf81d7,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,72.32%,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x22244ef5a988b9231ad073d9fd87cd74f245895f1c0fb82fae52e6ff56cf81d7,Arbitrum DAO,STIP - Round 1,ARB,,
PancakeSwap,Tally,200000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xf451dc98fa21d6dea83a7062cd5082ba57b3ed4861c2a3886b82e71e057380bb,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,88.37%,https://forum.arbitrum.foundation/t/pancakeswap-final-stip-round-1/17136,Arbitrum DAO,STIP - Round 1,ARB,,
RabbitHole,Tally,1000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x0908edd135f544cdf93dd628bf9813b0f3af517c6d87838a42639885b8bb9fb3,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,66.03%,https://forum.arbitrum.foundation/t/rabbithole-final-stip-round-1/17159,Arbitrum DAO,STIP - Round 1,ARB,,
Notional,Tally,500000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xdc35e859c48f45ea152a870b2cdb59274bd98da489c324345ec883785c2de715,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,93.42%,https://forum.arbitrum.foundation/t/notional-final-stip-round-1/16848,Arbitrum DAO,STIP - Round 1,ARB,,
Rodeo Finance,Tally,250000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x4af0134cf2fad93af6f255882f4c38847e38cfa083aaa29e37e9a9a669b7d913,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,80.86%,https://forum.arbitrum.foundation/t/rodeo-finance-final-stip-round-1/17162,Arbitrum DAO,STIP - Round 1,ARB,,
Magpie,Tally,1250000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0xa2ca8fdbac4c8279db3e641ffc60393aa2bcfdf832bd1734253e3db8c2c001de,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,77.04%,https://forum.arbitrum.foundation/t/magpie-penpie-radpie-campie-final-stip-round-1/16648,Arbitrum DAO,STIP - Round 1,ARB,,
Stargate Finance,Tally,2000000,https://snapshot.org/#/arbitrumfoundation.eth/proposal/0x0d9fd9f880615a320fa1294264d317228f0479d7f7f146f5c9683f1cb27f814b,https://www.tally.xyz/gov/arbitrum/proposal/13413460212244439965325761903593975061091934953503684497413508380387288651335?chart=0,79.26%,https://forum.arbitrum.foundation/t/stargate-finance-final-stip-round-1/17507,Arbitrum DAO,STIP - Round 1,ARB,,
