name,websiteUrl,twitterHandle,githubHandle,duneHandle,fundingWalletAddress,,,
WOOFi,fi.woo.org/,_WOOFi,woonetwork,,0xC8b2b7A07892644a71cc42eEC809b7A4296a715A,,,
Good Entry Labs,goodentry.io/,,GoodEntry-io,good-entry,0xB36FAa35034dd0E6307258cfe38793D3A5254dD3,,,
Gains Network,gains.trade/,GainsNetwork_io,,,0xC0eCc613f6F5e979Ed0169Bf7Af50803E7072e16,,,
DefiEdge,app.defiedge.io/,,,,0x3644233730dD168E1db3373Cd27491edd5d8984f,,,
Synapse Protocol,www.synapseprotocol.com/,SynapseProtocol,synapsecns,,0x1d9bfc24d9e7eeda4119ceca11eaf4c24e622e62,,,
PancakeSwap,pancakeswap.finance/,PancakeSwap,pancakeswap/,,0xeCc90d54B10ADd1ab746ABE7E83abe178B72aa9E,,,
RabbitHole,rabbithole.gg/,,rabbitholegg/quest-protocol,,,,,
Notional,notional.finance/,NotionalFinance,,,0xbf778Fc19d0B55575711B6339A3680d07352B221,,,
Rodeo Finance,www.rodeofinance.xyz/,Rodeo_Finance,RodeoFi,,0xaB7d6293CE715F12879B9fa7CBaBbFCE3BAc0A5a,,,
Magpie,www.magpiexyz.io/,magpiexyz_io,,,0x356A5023340AD1f27C1Dc5B6B246E6599566E625,,,
Stargate Finance,stargate.finance/,StargateFinance,,,0x9CD50907aeb5D16F29Bddf7e1aBb10018Ee8717d,,,
Savvy,savvydefi.io/,www.twitter.com/SavvyDeFi,savvy-finance,,0x4f54Cab19B61138e3c622a0bD671C687481eC030,,,
Tales of Elleria,www.talesofelleria.com/,TalesofElleria,,,0x69832Af74774baE99D999e7F74FE3F7d5833bF84,,,
Thales Protocol,thalesmarket.io/,thaIesmarket,thales-markets,,0x2902E381c9Caacd17d25a2e008db0a9a4687FDBF,,,
TIDE,landing.tideprotocol.xyz/,,,,0xe199d0CA24306cFA5BAee371b821fE5B1edF3456,,,
Solv Protocol,,SolvProtocol,solv-finance,,0x04dd7cF38a249a371a8e589bC1C44485BC791d3F,,,
Furucombo,furucombo.app/,furucombo,,,0x290BFbC2a7476156F318B331D6004868978A0854,,,
dForce,dforce.network/,dForcenet,dforce-network,,,,,
Sanko GameCorp,sankodreammachine.net/,SankoGameCorp,,,0x233cfCFB0D57C7e44F6836918eB2cFDd0760b6ED,,,
Ramses,ramses.exchange/,RamsesExchange,RamsesExchange,,0x20d630cf1f5628285bfb91dfac8c89eb9087be1a,,,
Vela Exchange,www.vela.exchange/,vela_exchange,,,0x678c29a2DA4Ae423457db591FF78bE8C9c63378C,,,
Thetanuts Finance,www.thetanuts.finance/,ThetanutsFi,,,0xc3A48B40b3762924D6fa3af1D957cE78E522497E,,,
